región,1/04,2/04,3/04,4/04,5/04,6/04,7/04,8/04,9/04,10/04,11/04,12/04,13/04,14/04,15/04,16/04,17/04,18/04,19/04,20/04,21/04,22/04,23/04,24/04,25/04,26/04,27/04,28/04,29/04,30/04,1/05,2/05,3/05,4/05,5/05,6/05,7/05,8/05,9/05,10/05,11/05,12/05,13/05,14/05,15/05,16/05,17/05,18/05,19/05,20/05,21/05,22/05
Arica y Parinacota,0,0,0,0,2,4,4,5,5,5,5,5,5,5,5,6,6,5,5,5,5,4,4,7,8,9,10,10,9,8,9,7,7,7,6,7,8,7,7,7,7,7,7,7,7,8,8,8,8,7,7,8
Tarapacá,1,1,1,1,1,2,2,2,2,3,3,2,2,1,0,0,0,0,1,1,1,2,2,2,3,2,2,2,3,2,2,2,4,4,5,5,5,4,6,6,7,9,8,9,13,13,12,16,18,18,21,18
Antofagasta,3,4,3,3,3,3,2,2,2,3,2,3,4,4,5,5,6,5,5,5,7,10,14,16,16,15,17,19,20,21,23,22,24,25,24,28,28,29,30,31,32,32,38,39,41,45,49,47,50,50,50,44
Atacama,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,3,3
Coquimbo,1,1,1,2,1,1,2,1,1,2,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,0,1,3
Valparaíso,14,17,18,22,27,22,21,20,22,21,22,18,16,16,16,18,18,19,22,22,22,24,20,17,16,14,15,15,14,18,19,18,17,18,17,16,15,18,19,18,19,21,24,25,25,26,27,32,34,38,38,37
Santiago,83,90,107,129,146,161,160,174,164,181,178,185,189,190,198,196,202,181,186,194,204,213,234,242,246,248,252,258,256,257,262,269,289,303,314,340,348,366,394,415,421,450,490,509,551,581,595,620,682,705,730,771
O’Higgins,5,5,5,5,5,6,6,6,6,7,7,7,7,5,6,4,4,4,4,4,3,4,4,4,4,4,4,5,4,5,6,5,5,5,7,5,6,6,5,5,5,6,7,8,7,10,10,9,9,14,18,22
Maule,3,3,3,3,4,5,7,8,10,11,13,15,16,15,15,13,12,12,15,9,14,10,9,9,8,10,10,8,7,6,5,5,8,8,7,4,4,4,4,4,5,6,6,6,6,8,8,8,8,8,10,16
Ñuble,7,8,10,11,10,11,13,13,13,13,13,12,13,12,13,12,12,13,14,15,15,15,15,13,10,10,10,9,7,7,8,8,9,9,7,7,7,7,8,8,8,7,5,5,5,5,5,5,7,7,8,9
Biobío,14,18,21,24,26,27,32,31,33,32,33,31,35,35,35,30,27,25,26,26,25,25,25,22,22,23,24,21,22,22,23,21,20,18,18,15,14,16,18,19,18,17,14,11,12,14,14,17,18,19,23,21
Araucanía,26,29,37,44,44,46,46,54,56,57,53,56,52,46,46,47,47,46,44,45,45,43,37,38,39,38,37,35,35,30,29,28,27,26,25,24,24,21,22,23,22,20,18,17,16,16,17,18,18,18,17,18
Los Ríos,1,2,2,2,3,4,6,6,7,7,7,7,7,7,6,7,6,6,7,5,6,7,7,7,7,7,6,5,5,5,5,4,3,3,4,4,4,4,3,2,2,1,0,0,0,0,0,0,0,0,0,0
Los Lagos,10,12,18,22,22,23,24,25,24,25,26,26,25,26,26,27,26,26,25,24,25,23,22,21,21,17,17,18,18,19,18,17,17,18,16,11,10,10,11,10,10,10,11,13,11,10,9,11,10,8,8,9
Aysén,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Magallanes,5,10,11,12,13,12,12,14,14,15,18,18,15,15,16,18,18,17,18,21,19,18,17,16,17,17,21,22,17,18,18,18,18,19,19,19,19,15,15,15,16,16,12,12,12,11,11,12,10,9,9,7
Total,173,200,237,280,307,327,337,362,360,383,383,387,387,379,389,384,385,360,373,377,392,399,411,415,418,415,426,428,418,419,428,425,449,464,470,486,493,508,544,565,574,604,642,663,711,751,769,807,876,904,943,986
